ppid,Heading,Summary,Product,Solutions,Vertical,Image1Url,ProductType,DetailPage,islive,isnew,metaDesc,metaKeyword
32,Azure Red Hat OpenShift Implementation,Adopt cloud native development technologies and mindset using a container platform without having to manage it and controlling its costs and use all the services offered by cloud providers to create more innovative and useful applications.,"MS Azure,Azure OS,OpenShift",ApplicationDevelopment,All,intro-marketectures/ms-aro-marketing-slide.png,PA,ms-aro.adoc,TRUE,TRUE,"Easily deploy Red Hat OpenShift clusters on Microsoft Azure using ARO, joint Red Hat and Microsoft managed service that takes care of the entire lifecycle of the clusters, reducing time and money spent in operations","Red Hat OpenShift,Microsoft Azure,Microsoft Azure ARO"
23,Telco Radio Access Networks,"By taking advantage of cloud computing, radio access networks (RAN) solutions are able to accelerate the digital transformation of mobile networks.","ACM,AMQ,Consulting,Identity,OpenShift,Quay,RHEL,SmartManagement,Training","Edge,Infrastructure",Telco,intro-marketectures/telco-ran-marketing-slide.png,PA,telco-radio-access-networks.adoc,TRUE,TRUE,"Modernizing radio access network (RAN) with cloud computing to reduce Capex/Opex, increase agility and enable new services","Telco, Edge, Hybrid cloud, RAN"
29,Intelligent Automation Workflow for Claims,"Partnering with IBM showcasing 2 tiers of intelligent workflow, from smart claim to FNOL process, and infrastructure workflow with ITSM and how to apply strangler pattern for painless migration to cloud native, intelligent automated workflow","Consulting,OpenShift,Ansible","Automation,DataScience",FSI,intro-marketectures/intelligent-auto-claim-marketing-slide.png,PA,intelligent-auto-claim.adoc,TRUE,TRUE,"Streamlined insurance claim processing by automating with IBM AI/ML solution, hosting on a cloud-native platform. Improve operational efficiency by integrating ITSM and automate with Red Hat technology","Claim, IBM, AI/ML, Cloud Native, ITSM, automation"
28,API Management Platform for SAP,"Integrate SAP and non-SAP applications seamlessly with an API first approach, adopting cloud native and microservices development patterns for new applications and stop developing inside SAP so that a basic core is kept, which dramatically speeds up and simplifies the upgrades.","RHEL,OpenShift,Integration","ApplicationDevelopment,SAP",All,intro-marketectures/api-platform-for-sap-marketing-slide.png,PA,api-management-platform-for-sap.adoc,TRUE,TRUE,Keep the SAP core clean developing extensions and new cloud native apps on Red Hat Openshift and integrate them using Red Hat API based integration platform,"SAP,integration,side-by-side extensibility,clean core,SAP BTP,Red Hat Fuse,Red Hat AMQ,event-driven,Red Hat OpenShift,Red Hat 3Scale"
27,Event Driven Automation,"Automating event response for configuration changes, security preparedness, or emergency incident handling across a scaling estate, whether on-premises in physical data centers or in public/private clouds.","Ansible,AMQ,OpenShift,Consulting,Training",Automation,FSI,intro-marketectures/eda-marketecture-slide.png,PA,event-driven-automation.adoc,TRUE,TRUE,"Event Driven Automation is the core to automating your emergency response, reducing reaction times to as close to absolute-zero as possible, while adding in the benefit of alleviating time wasted on mundane day-to-day maintenance tasks.","Red Hat, event driven, automate, emergency response"
25,Change Data Capture,This solution pattern brings an architectural solution for scenarios where services integration must happen through data integration and cause no impact to the existing stack.,"OpenShift,Kafka,Runtimes,Integration",ApplicationDevelopment,All,intro-marketectures/sp-cdc.png,SP,/redhat-solution-patterns/solution-pattern-modernization-cdc/refactor-for-pa-page/documentation/modules/ROOT/pages/single-page.adoc,TRUE,FALSE,"Enhance services integration to deliver new features with zero impact on the existing stack, using a hybrid cloud model with containerized services running on OpenShift and consuming managed OpenShift Streams for Apache Kafka","services integration, hybrid cloud model, OpenShift Streams, Apache Kafka"
26,Industrial Edge,Boosting manufacturing efficiency and product quality with artificial intelligence and machine learning out to the edge.,"OpenShift,Runtimes,AMQ,Integration,Data,ACM,RHEL","Edge,DataScience",Manufacturing,intro-marketectures/edge-manufacturing-efficiency-marketing-slide.png,PA,industrial-edge.adoc,TRUE,FALSE,Boosting manufacturing efficiency and product quality with artificial intelligence and machine learning out to the edge,"Edge, AI/ML, GitOps, Industrial"
24,Extending Cloud from Data Center to Edge,Bringing computing closer to the edge by monitoring for potential issues with gas pipeline.,"Ansible,OpenShift,ACM,Quay,SmartManagement,RHEL,Consulting,Training",Edge,All,intro-marketectures/datacenter-to-edge-marketing-slide.png,PA,datacenter-to-edge.adoc,TRUE,FALSE,Bringing computing closer to the edge by monitoring for potential issues with gas pipeline (edge),"Edge, Industrial"
6,Enabling Medical Imaging Diagnostics with Edge,Accelerating medical diagnosis using condition detection in medical imagery with AI/ML at medical facilities.,"OpenShift,AMQ,ACM,RHEL,Consulting,Training","Infrastructure,Edge,DataScience",Healthcare,intro-marketectures/edge-medical-diagnosis-marketing-slide.png,PA,edge-medical-diagnosis.adoc,TRUE,FALSE,"Red Hat Edge Medical Diagnosis solution provides the automated diagnosis of medical imaging data with AI/ML in Edge computing, reducing time spent on diagnosis for healthcare organizations .","automated diagnosis, medical imaging data , AI/ML, Edge computing, healthcare"
11,Near Zero Downtime Maintenance for SAP,Minimizing the downtime of the maintenances on SAP hosts so that users and processes can continue to work without perceiving any interruption.,"Ansible,SmartManagement,Satellite,RHEL,Consulting,Training","Automation,SAP",All,intro-marketectures/near-zero-downtime-maintenance-for-sap-marketing.png,PA,nzd-sap.adoc,TRUE,FALSE,Achieve Near Zero Downtime during maintenance in SAP hosts on DB and application side and do it automatically with Red Hat Ansible and Smart Management combined with Red Hat HA Add-On,"SAP,RHEL,Near Zero Downtime,maintenance,Pacemaker,cluster,High Availability,business continuity,disruption,RHEL High Availability Add-On,SAP HANA,SAP Netweaver,SAP S/4HANA"
